City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
cherdyn,60.403,56.4787,2.3,98,100,3.09,RU,1643255382
lugazi,0.3772,32.9197,67.68,65,84,1.54,UG,1643255383
matara,5.9485,80.5353,79.59,68,100,4.59,LK,1643255384
rabo de peixe,37.8,-25.5833,57.27,93,40,8.05,PT,1643255384
abu samrah,35.3029,37.1841,38.37,90,100,12.19,SY,1643255385
tuatapere,-46.1333,167.6833,57.81,50,26,7.94,NZ,1643255385
dunedin,-45.8742,170.5036,54.81,60,80,8.99,NZ,1643255386
esperance,-33.8667,121.9,67.59,76,99,11.16,AU,1643255386
komsomolskiy,40.4272,71.7189,31.42,74,0,2.3,UZ,1643255387
dzilam gonzalez,21.2833,-88.9333,71.44,87,16,6.06,MX,1643255387
quang ngai,15.1167,108.8,79.11,66,84,4.41,VN,1643255388
lakefield,43.6775,-95.1717,32.49,75,40,3.0,US,1643255388
lluta,-16.0147,-72.0142,50.27,74,96,4.38,PE,1643255389
mazagao,-0.115,-51.2894,78.85,97,100,3.2,BR,1643255389
nouadhibou,20.931,-17.0347,60.78,88,0,17.27,MR,1643255390
acapulco,16.8634,-99.8901,76.32,81,0,4.52,MX,1643255390
lasa,46.6166,10.7002,45.86,50,77,6.26,IT,1643255391
lagunas,-5.2269,-75.6753,73.35,92,47,1.74,PE,1643255391
alice springs,-23.7,133.8833,92.75,43,32,10.36,AU,1643255392
bengkulu,-3.8004,102.2655,82.04,75,100,2.84,ID,1643255392
misratah,32.3754,15.0925,54.07,61,100,9.06,LY,1643255392
george town,5.4112,100.3354,87.73,76,20,5.01,MY,1643255163
cody,44.5263,-109.0565,29.59,55,0,0.0,US,1643255393
kalmunai,7.4167,81.8167,78.98,66,91,8.39,LK,1643255393
along,28.1667,94.7667,54.07,90,100,1.59,IN,1643255394
mazara del vallo,37.6641,12.588,46.54,76,2,5.88,IT,1643255394
haines junction,60.7522,-137.5108,13.95,85,100,1.14,CA,1643255395
umm lajj,25.0213,37.2685,59.58,53,38,16.82,SA,1643255395
janauba,-15.8025,-43.3089,67.21,88,9,2.53,BR,1643255396
madimba,-10.4,40.3333,78.3,79,98,5.61,TZ,1643255396
coruripe,-10.1256,-36.1756,76.87,84,26,7.14,BR,1643255397
tombouctou,20.0,-3.0,64.56,16,97,9.82,ML,1643255397
sangar,63.9242,127.4739,-18.67,90,100,3.44,RU,1643255398
winnemucca,40.973,-117.7357,28.11,68,0,0.0,US,1643255398
mawlaik,23.6333,94.4167,72.82,54,13,2.28,MM,1643255399
marystown,47.1666,-55.1483,28.85,100,100,5.99,CA,1643255399
kalabo,-14.97,22.6814,67.03,90,100,3.6,ZM,1643255400
amalapuram,16.5833,82.0167,75.58,67,47,4.27,IN,1643255400
kulunda,52.566,78.9385,-6.72,100,100,5.35,RU,1643255401
los llanos de aridane,28.6585,-17.9182,56.95,73,75,7.0,ES,1643255401
launceston,-41.45,147.1667,71.24,82,75,4.0,AU,1643255312
cockburn town,21.4612,-71.1419,77.47,74,0,12.86,TC,1643255402
jiuquan,39.7432,98.5174,24.1,33,100,0.94,CN,1643255402
pascagoula,30.3658,-88.5561,44.65,52,0,10.36,US,1643255403
nemuro,43.3236,145.575,27.03,88,100,17.34,JP,1643255403
guiren,33.6697,118.1889,45.0,52,95,10.47,CN,1643255404
hervey bay,-25.2986,152.8535,85.03,61,82,17.54,AU,1643255404
denpasar,-8.65,115.2167,85.71,79,40,13.8,ID,1643255405
sao borja,-28.6606,-56.0044,78.94,88,89,4.97,BR,1643255405
hualmay,-11.0964,-77.6139,70.93,83,94,9.73,PE,1643255406
salalah,17.0151,54.0924,69.51,54,0,1.66,OM,1643255406
krasnoselkup,65.7,82.4667,-3.69,97,100,17.52,RU,1643255407
sechura,-5.5569,-80.8222,72.3,74,85,13.04,PE,1643255407
morristown,36.214,-83.2949,29.75,60,75,0.0,US,1643255408
awka,6.2101,7.0741,69.64,67,30,0.67,NG,1643255408
oyama,36.3,139.8,55.04,26,7,3.13,JP,1643255409
pedernales,18.0384,-71.744,75.04,69,3,2.91,DO,1643255409
zhigalovo,54.8097,105.1578,-2.9,95,91,0.92,RU,1643255410
iquitos,-3.7481,-73.2472,77.04,94,75,0.0,PE,1643255410
bollnas,61.3482,16.3946,28.38,94,98,3.58,SE,1643255411
rocha,-34.4833,-54.3333,66.15,77,100,16.4,UY,1643255411
bukavu,-2.5083,28.8608,60.8,90,100,1.83,CD,1643255270
shubarshi,48.5872,57.1869,18.19,92,100,9.57,KZ,1643255412
tukan,53.8409,57.4552,9.61,95,100,6.33,RU,1643255412
baruun-urt,46.6806,113.2792,1.24,75,6,8.84,MN,1643255413
man,7.4125,-7.5538,64.58,30,2,1.39,CI,1643255413
nisia floresta,-6.0911,-35.2086,79.18,89,83,5.59,BR,1643255413
sabya,17.1495,42.6254,74.82,76,0,4.52,SA,1643255414
odienne,9.51,-7.5692,68.7,22,1,1.21,CI,1643255414
berdigestyakh,62.0989,126.6992,-4.99,92,100,3.8,RU,1643255415
alugan,12.2188,125.4808,82.31,73,66,13.87,PH,1643255415
kudahuvadhoo,2.6708,72.8944,80.1,68,98,14.43,MV,1643255416
ulladulla,-35.35,150.4667,79.7,54,5,17.54,AU,1643255417
miri,4.4148,114.0089,80.74,89,40,4.61,MY,1643255337
ferrol,43.4832,-8.2369,44.51,83,0,5.73,ES,1643255417
anchorage,61.2181,-149.9003,25.32,83,100,5.99,US,1643255418
bridlington,54.0831,-0.1919,50.29,90,100,21.81,GB,1643255418
weyburn,49.6668,-103.8511,28.62,86,70,19.57,CA,1643255419
palauig,15.435,119.9045,86.16,64,55,5.37,PH,1643255419
gao,16.6362,1.637,58.78,19,18,13.11,ML,1643255420
port shepstone,-30.7414,30.455,72.61,83,8,4.92,ZA,1643255420
aasiaat,68.7098,-52.8699,5.25,83,100,14.32,GL,1643255420
paluan,13.416,120.4623,84.02,74,86,6.26,PH,1643255421
marsa matruh,31.3525,27.2453,44.8,81,75,11.5,EG,1643255421
kangaatsiaq,68.3065,-53.4641,3.74,85,100,15.23,GL,1643255422
coihaique,-45.5752,-72.0662,56.01,66,0,0.98,CL,1643255162
langenburg,49.2544,9.8458,29.91,100,100,9.22,DE,1643255422
flin flon,54.7682,-101.865,-6.43,84,21,11.43,CA,1643255129
naranjal,-2.6667,-79.6167,77.52,94,97,1.86,EC,1643255423
raga,8.4596,25.678,66.63,21,83,7.52,SS,1643255423
znamenskoye,57.1281,73.8282,-2.24,100,100,4.85,RU,1643255424
hurricane,37.1753,-113.2899,39.6,44,0,6.73,US,1643255307
kabinda,-6.1333,24.4833,65.41,97,100,2.8,CD,1643255425
hobyo,5.3505,48.5268,74.37,68,45,14.47,SO,1643255425
saint-georges,12.0564,-61.7485,76.68,83,40,9.22,GD,1643255426
yichang,30.7144,111.2847,43.54,68,98,1.43,CN,1643255426
mopipi,-21.1833,24.8833,70.99,77,100,11.39,BW,1643255427
mandera,3.9366,41.867,73.13,34,50,6.08,KE,1643255427
jamalpur,24.9167,89.9333,68.11,53,20,9.8,BD,1643255428
dolinsk,47.35,142.8,15.66,83,100,7.38,RU,1643255428
sao manuel,-22.7311,-48.5706,73.08,92,99,2.93,BR,1643255228
barranca,-10.75,-77.7667,70.97,80,91,6.91,PE,1643255429
palmer,42.1584,-72.3287,14.22,70,0,0.0,US,1643255429
altamira,-3.2033,-52.2064,71.19,95,100,1.66,BR,1643255430
dubbo,-32.25,148.6167,84.33,54,100,8.05,AU,1643255430
ganzhou,28.8184,115.4327,43.12,90,100,6.71,CN,1643255377
ucluelet,48.9329,-125.5528,32.95,78,49,4.34,CA,1643255149
constitucion,-35.3333,-72.4167,56.75,93,7,4.29,CL,1643255416
klyuchi,52.2667,79.1667,-3.1,100,98,5.39,RU,1643255431
santa cruz,-17.8,-63.1667,78.26,83,54,6.91,BO,1643255305
gidole,5.65,37.3667,55.72,45,56,4.0,ET,1643255432
hiroshima,34.3963,132.4594,51.58,48,77,0.65,JP,1643255246
san patricio,28.017,-97.5169,55.38,77,88,9.89,US,1643255433
oranjemund,-28.55,16.4333,63.52,87,91,15.17,NA,1643255433
rock springs,41.5875,-109.2029,24.24,50,0,10.36,US,1643255434
lavrentiya,65.5833,-171.0,-18.13,85,29,4.05,RU,1643255434
bulolo,-7.2,146.65,83.86,67,100,0.69,PG,1643255435
alyangula,-13.8483,136.4192,91.27,62,100,11.5,AU,1643255435
sambava,-14.2667,50.1667,75.36,81,20,7.94,MG,1643255436
manicore,-5.8092,-61.3003,70.93,100,97,0.69,BR,1643255436
kikwit,-5.041,18.8162,67.96,95,100,1.81,CD,1643255436
verkhnevilyuysk,63.4453,120.3167,-3.41,96,97,5.23,RU,1643255437
meadow lake,34.8014,-106.5436,35.33,61,1,7.38,US,1643255437
vyselki,45.5794,39.6597,25.47,98,100,3.8,RU,1643255438
canandaigua,42.8742,-77.288,9.55,78,21,1.01,US,1643255439
brumadinho,-20.1433,-44.1997,72.68,92,3,1.07,BR,1643255439
neiafu,-18.65,-173.9833,86.68,70,20,5.75,TO,1643255440
nanakuli,21.3906,-158.1547,80.55,55,0,12.66,US,1643255440
zhanaozen,43.3,52.8,30.87,65,72,12.08,KZ,1643255441
kungurtug,50.5994,97.5228,-1.41,77,36,1.16,RU,1643255442
sandnessjoen,66.0217,12.6316,37.38,95,100,3.0,NO,1643255443
richards bay,-28.783,32.0377,73.71,93,51,6.96,ZA,1643255207
iracoubo,5.4802,-53.2011,74.26,90,24,4.68,GF,1643255443
shenjiamen,29.9576,122.298,48.16,89,100,17.52,CN,1643255444
fairlie,55.756,-4.8556,47.01,89,100,10.0,GB,1643255444
loviisa,60.4566,26.2251,32.45,98,100,7.83,FI,1643255444
manaquiri,-3.3167,-60.35,75.69,98,97,2.04,BR,1643255445
nioro,13.35,-15.75,71.96,13,50,4.92,GM,1643255445
evensk,61.95,159.2333,10.4,91,100,16.17,RU,1643255446
tigil,57.8,158.6667,5.9,92,100,7.7,RU,1643255446
kargasok,59.0556,80.8572,-11.99,100,97,5.08,RU,1643255447
xai-xai,-25.0519,33.6442,75.18,94,81,4.52,MZ,1643255202
buraydah,26.326,43.975,50.45,35,0,14.38,SA,1643255414
amnat charoen,15.9167,104.75,88.68,33,25,8.05,TH,1643255448
elko,41.0002,-115.5012,26.62,82,37,2.55,US,1643255448
elat,29.5581,34.9482,46.24,66,20,0.0,IL,1643255449
bluefield,37.2698,-81.2223,19.24,66,0,1.01,US,1643255164
honningsvag,70.9821,25.9704,29.41,82,100,10.27,NO,1643255450
honiara,-9.4333,159.95,81.32,79,100,7.05,SB,1643255401
naze,28.3667,129.4833,65.32,73,92,4.09,JP,1643255451
maumere,-8.6199,122.2111,83.66,77,91,11.16,ID,1643255451
boissevain,49.2306,-100.0559,28.9,89,97,13.87,CA,1643255452
sainte-marie,-20.8968,55.5496,77.13,66,0,4.61,RE,1643255452
cooma,-36.2333,149.1333,78.57,41,68,14.97,AU,1643255453
kinablangan,7.6947,126.5503,81.12,80,80,5.28,PH,1643255453
la reforma,25.0833,-108.05,62.74,72,3,5.35,MX,1643255453
tondano,1.3038,124.9112,82.49,70,83,4.32,ID,1643255454
karratha,-20.7377,116.8463,90.3,45,0,19.04,AU,1643255454
havoysund,70.9963,24.6622,27.48,76,100,5.95,NO,1643255455
senanga,-16.1167,23.2667,66.2,97,100,6.35,ZM,1643255455
robertsport,6.7533,-11.3686,79.59,77,16,1.86,LR,1643255456
fort nelson,58.8053,-122.7002,24.39,93,100,0.0,CA,1643255456
beeville,28.4008,-97.7483,54.28,82,100,9.22,US,1643255457
meulaboh,4.1363,96.1285,83.98,66,28,1.99,ID,1643255457
beyneu,45.3167,55.2,28.65,68,100,14.43,KZ,1643255457
burgeo,47.6167,-57.6152,17.13,80,100,11.88,CA,1643255458
caravelas,-17.7125,-39.2481,74.03,93,67,3.38,BR,1643255458
kosino,58.4127,51.2782,4.39,97,99,4.99,RU,1643255459
karatau,43.1667,70.4667,27.93,51,0,3.78,KZ,1643255459
buenavista,8.9769,125.4089,86.43,68,26,8.63,PH,1643255460
tilichiki,60.4667,166.1,24.75,89,100,13.4,RU,1643255460
